target soma method number_of_models_used mcore Dmcore sigma Dsigma mstar Dmstar theta_view Dtheta_view dist av Dav rcore Drcore massenv Dmassenv theta_w_esc Dtheta_w_esc rstar Drstar lstar Dlstar tstar Dtstar mdisk Dmdisk rdisk Drdisk mdotd Dmdotd lbol Dlbol lbol_iso Dlbol_iso lbol_av Dlbol_av t_now Dt_now
AFGL4029 soma_i "average model method 2" 567 59.09705 1.61682 0.42691 3.38599 12.66079 1.78824 56.88496 21.60211 2000.0 103.46619 101.62344 0.08658 2.17384 20.94452 2.52923 4.39413e+01 14.40728 8.97493 2.06563 2.05233e+04 5.18913 2.30727e+04 1.70970 4.22026 1.78824 1.41442e+02 1.95296 1.35868e-04 2.30219 2.92491e+04 3.15293 1.43509e+04 4.51319 3.88794e+03 1.25361 1.41821e+05 2.31830
AFGL437 soma_i "average model method 2" 27 114.89766 1.86368 0.23459 4.40825 16.92509 1.34539 67.28764 15.90352 2000.0 10.39683 12.17940 0.16286 2.84493 57.78488 3.25795 3.74573e+01 9.84107 7.24553 2.00730 3.81237e+04 1.96590 2.99789e+04 1.45319 5.64170 1.34539 1.89130e+02 1.92958 1.34160e-04 2.37322 4.75659e+04 1.94064 1.61919e+04 1.13609 1.45711e+04 1.03741 2.11683e+05 2.66900
IRAS07299 soma_i "average model method 2" 106 53.15026 1.45788 1.59449 2.27528 15.21859 1.44528 66.08889 16.39720 1680.0 28.34696 29.67060 0.04249 1.71299 18.73657 1.90661 4.21827e+01 9.52049 15.17255 2.48409 5.21299e+04 1.94718 2.24024e+04 1.69184 5.07286 1.44528 8.28515e+01 1.66457 4.19022e-04 1.77451 6.46877e+04 2.02222 1.15646e+04 1.36924 9.46599e+03 1.20622 5.91383e+04 1.87017
G35.20-0.74 soma_i "average model method 2" 231 121.95157 1.54922 0.72286 2.68071 18.75415 1.49728 62.44953 16.79983 2200.0 34.60293 36.16809 0.09558 1.99897 71.86847 1.89517 3.25459e+01 10.53969 9.20125 1.90498 6.92630e+04 2.13449 3.08854e+04 1.39749 6.25138 1.49728 1.10757e+02 1.62937 3.50674e-04 1.92997 9.07137e+04 2.08736 2.84433e+04 1.35204 2.30328e+04 1.15311 9.35215e+04 1.90613
G45.47+0.05 soma_i "average model method 2" 330 317.90460 1.39702 1.33067 2.22958 34.57323 1.50958 61.10433 18.00357 8400.0 88.49106 46.54255 0.11374 1.73159 234.83949 1.42772 2.50772e+01 7.63052 12.18149 1.58906 2.84721e+05 1.83551 3.82214e+04 1.28395 11.52441 1.50958 1.01464e+02 1.76374 1.03563e-03 1.62447 3.71954e+05 1.76097 1.61812e+05 1.35651 1.05564e+05 1.13747 6.26546e+04 1.92632
IRAS20126 soma_i "average model method 2" 17 90.75917 1.33858 0.36184 1.74798 18.90724 1.22838 76.81636 8.77619 1640.0 46.86204 30.03348 0.11654 1.48843 43.66922 1.49867 4.38077e+01 2.52570 6.04887 1.37429 4.57402e+04 1.64668 3.43391e+04 1.12636 6.30241 1.22838 1.81179e+02 1.32293 1.74981e-04 1.44014 6.14992e+04 1.52286 1.20118e+04 1.34170 9.09910e+03 1.12309 1.74613e+05 1.47235
CepA soma_i "average model method 2" 106 106.89029 1.41683 0.54403 2.15033 16.16113 1.40194 71.24581 11.51166 700.0 65.71791 31.24018 0.10315 1.70166 67.43462 1.54645 3.21880e+01 7.66063 8.03970 1.91986 4.55552e+04 1.74867 2.97554e+04 1.39997 5.38704 1.40194 1.16639e+02 1.50633 2.57807e-04 1.65418 6.10611e+04 1.73955 1.96675e+04 1.23539 1.43375e+04 1.11155 1.10604e+05 1.69477
NGC7538 soma_i "average model method 2" 55 121.71138 1.74015 0.56798 3.76923 27.17762 1.53149 67.22787 15.83959 2650.0 23.06057 18.97756 0.10772 2.51636 49.78648 1.99902 4.55057e+01 9.20310 10.13442 1.79321 1.31059e+05 1.93117 3.45158e+04 1.45308 9.05921 1.53149 1.78292e+02 2.18010 3.00304e-04 2.23937 1.56163e+05 1.93924 2.92896e+04 1.18681 2.37926e+04 1.08629 1.39404e+05 2.66982
G45.12+0.13 soma_ii "average model method 2" 815 349.72562 1.43032 0.90552 2.90372 44.45356 1.69176 56.75237 21.16562 7400.0 23.25229 53.31897 0.14462 1.93417 216.57677 1.63679 3.20922e+01 13.45909 12.57689 1.55388 3.97190e+05 2.17233 4.08804e+04 1.26228 14.81785 1.69176 1.52004e+02 2.23161 8.28927e-04 2.04216 4.94493e+05 2.03950 2.43700e+05 2.85571 1.57813e+05 1.33358 9.42725e+04 2.47358
G309.92+0.48 soma_ii "average model method 2" 21 339.57825 1.43230 1.54988 2.15994 45.15723 1.68797 39.12821 9.39029 5500.0 13.83526 18.20247 0.10892 1.72848 229.82376 1.32882 2.89510e+01 9.24462 15.16178 1.37475 5.04511e+05 1.78441 3.95270e+04 1.27819 15.05241 1.68797 1.16256e+02 1.98538 1.31017e-03 1.46961 6.13996e+05 1.76483 2.95842e+05 1.24315 2.60227e+05 1.10618 6.36819e+04 2.08171
