#                Mst       Rst                 Lst                 Tst                Phi                 sig
      0.99990000E-01       2.2539710           53.499932           10403.051          0.50064297E+38      0.37106927E-17
      0.10596176           2.1961265           59.862926           10839.388          0.17628163E+39      0.40216028E-17
      0.11229017           2.1411263           66.943590           11288.926          0.65724068E+39      0.44322467E-17
      0.11899654           2.0886789           74.823856           11752.181          0.21267162E+40      0.46898587E-17
      0.12610343           2.0691711           82.361526           12094.182          0.22121834E+40      0.46176704E-17
      0.13363477           2.0240175           91.835819           12565.765          0.54931855E+40      0.47359482E-17
      0.14161592           1.9810660           102.33301           13049.635          0.13232469E+41      0.48287625E-17
      0.15007372           1.9390574           114.03404           13552.142          0.39241014E+41      0.48945529E-17
      0.15903666           1.8990506           127.01281           14068.204          0.11211165E+42      0.49466314E-17
      0.16853489           1.8602713           141.43462           14601.490          0.19970952E+42      0.50158106E-17
      0.17860039           1.8225726           157.50646           15154.091          0.37972514E+42      0.50515667E-17
      0.18926704           1.7864926           175.23664           15720.057          0.82014372E+42      0.50498306E-17
      0.20057074           1.7513536           194.99802           16306.867          0.16802067E+43      0.50320143E-17
      0.21254953           1.7178790           216.85015           16908.058          0.32384828E+43      0.50030395E-17
      0.22524374           1.6867088           240.88631           17517.960          0.58141098E+43      0.49672739E-17
      0.23869610           1.6592851           267.07227           18123.595          0.10161911E+44      0.49266832E-17
      0.25295188           1.6409851           294.33011           18672.445          0.16454268E+44      0.48846045E-17
      0.26805906           1.6380294           321.47363           19105.977          0.23115044E+44      0.48573567E-17
      0.28406850           1.6559328           346.81178           19366.332          0.26261293E+44      0.48560032E-17
      0.30103407           1.6943225           369.68596           19453.956          0.28482970E+44      0.48553869E-17
      0.31901290           1.7511302           390.08306           19394.682          0.29705196E+44      0.48558065E-17
      0.33806548           1.8190845           409.56939           19262.323          0.30378718E+44      0.48566112E-17
      0.35825594           1.8918842           429.40288           19112.693          0.30918819E+44      0.48572984E-17
      0.37965226           1.9683160           450.00133           18958.716          0.30779417E+44      0.48610538E-17
      0.40232644           2.0474277           471.96442           18811.620          0.29110391E+44      0.48732162E-17
      0.42635480           2.1258346           495.74291           18689.651          0.28064608E+44      0.48831535E-17
      0.45181822           2.2046437           521.18145           18583.572          0.27388982E+44      0.48915657E-17
      0.47880241           2.2842286           548.59241           18492.430          0.27026908E+44      0.48988078E-17
      0.50739818           2.3598586           579.08301           18441.334          0.27524737E+44      0.49028020E-17
      0.53770180           2.4362131           612.16376           18403.882          0.28352512E+44      0.49056609E-17
      0.56981526           2.5085669           648.66554           18401.008          0.29977645E+44      0.49058434E-17
      0.60384664           2.5732708           689.63749           18448.468          0.32940292E+44      0.49022006E-17
      0.63991051           2.6284668           736.50008           18556.155          0.37952052E+44      0.48937959E-17
      0.67812823           2.6683468           791.23294           18749.916          0.46720981E+44      0.48782741E-17
      0.71862845           2.6899804           856.03388           19045.469          0.60808540E+44      0.48575117E-17
      0.76154749           2.7043265           928.60490           19385.235          0.70577032E+44      0.48558805E-17
      0.80702981           2.7152080           1008.8659           19751.530          0.82371404E+44      0.48527033E-17
      0.85522849           2.7249430           1095.9768           20128.695          0.10096691E+45      0.48401619E-17
      0.90630576           2.7353246           1190.5054           20510.361          0.13617347E+45      0.48109635E-17
      0.96043356           2.7415584           1294.9754           20922.476          0.18728457E+45      0.47776208E-17
       1.0177941           2.7529123           1406.1691           21313.835          0.25750445E+45      0.47439230E-17
       1.0785803           2.7642264           1526.7997           21712.474          0.35661204E+45      0.47076499E-17
       1.1429970           2.7801609           1655.6150           22093.046          0.48936498E+45      0.46717872E-17
       1.2112608           2.8007805           1791.9724           22451.410          0.66441486E+45      0.46384100E-17
       1.2836016           2.8217345           1939.3757           22814.276          0.90539176E+45      0.46028415E-17
       1.3602628           2.8486036           2094.2766           23146.917          0.12015619E+46      0.45705242E-17
       1.4415025           2.8830512           2254.9141           23437.208          0.15387978E+46      0.45433755E-17
       1.5275942           2.9141723           2430.5704           23753.039          0.20047272E+46      0.45126005E-17
       1.6188275           2.9542184           2612.6946           24021.626          0.25324428E+46      0.44852709E-17
       1.7155096           3.0156039           2787.7070           24164.348          0.29379436E+46      0.44696361E-17
       1.8179659           3.0699032           2983.5716           24359.762          0.35304662E+46      0.44475046E-17
       1.9265413           3.1359895           3182.8734           24494.441          0.40775737E+46      0.44319920E-17
       2.0416012           3.2319154           3364.9774           24466.200          0.42397730E+46      0.44352698E-17
       2.1635329           3.3349821           3553.3999           24415.529          0.43466990E+46      0.44410761E-17
       2.2927467           3.4606694           3732.3144           24264.189          0.41729507E+46      0.44584473E-17
       2.4296777           3.5948632           3914.0021           24091.589          0.39536444E+46      0.44775917E-17
       2.5747866           3.7561239           4079.4107           23813.943          0.34902256E+46      0.45065231E-17
       2.7285620           3.9457002           4227.6299           23443.176          0.28955021E+46      0.45427903E-17
       2.8915214           4.1596880           4367.3596           23018.562          0.23211789E+46      0.45821939E-17
       3.0642133           4.3925070           4507.6599           22578.041          0.18113271E+46      0.46261044E-17
       3.2472190           4.6755859           4609.6997           22006.580          0.12905021E+46      0.46795900E-17
       3.4411544           4.9686138           4723.7695           21479.461          0.95670373E+45      0.47291573E-17
       3.6466724           5.3375565           4788.9584           20795.238          0.64427131E+45      0.47881152E-17
       3.8644646           5.8122645           4831.3685           19971.218          0.41141426E+45      0.48501367E-17
       4.0952641           6.3890582           4785.1553           19002.915          0.33704197E+45      0.48576024E-17
       4.3398478           7.1363727           4663.2361           17864.978          0.14672777E+45      0.49449202E-17
       4.5990389           8.1749253           4434.1615           16482.478          0.44837110E+44      0.50242174E-17
       4.8737098           10.299038           3853.4031           14181.608          0.37587676E+43      0.49638777E-17
       5.1647850           36.945688           6465.9655           8523.3028          0.18639625E+38      0.35648394E-17
       5.4732443           50.836141           7746.5550           7599.5332          0.54092095E+35      0.22281832E-17
       5.8001258           60.911208           8760.5767           7158.9128          0.37330758E+34      0.20986755E-17
       6.1465299           68.185950           9813.3409           6960.7990          0.16095165E+34      0.20962708E-17
       6.5136224           72.875362           10979.501           6924.7899          0.16105383E+34      0.21041925E-17
       6.9026391           75.429744           12307.173           7003.5487          0.23286614E+34      0.20982746E-17
       7.3148891           76.192891           13714.946           7159.1601          0.59031087E+34      0.20945910E-17
       7.7517603           75.709729           15690.207           7428.1296          0.38283824E+35      0.21637957E-17
       8.2147229           73.973008           17870.192           7763.2714          0.33653997E+36      0.23755123E-17
       8.7053352           71.238627           20502.195           8187.3454          0.18451410E+38      0.35799155E-17
       9.2252487           67.760237           21851.681           8529.8062          0.64866860E+38      0.35572055E-17
       9.7762133           64.424731           27670.962           9279.6237          0.11274395E+40      0.35082890E-17
       10.360083           61.037629           32532.441           9927.3264          0.88606738E+40      0.35651366E-17
       10.978824           57.090100           38351.487           10696.001          0.77090285E+41      0.38979543E-17
       11.634519           52.679582           45237.322           11604.040          0.94020172E+42      0.46288231E-17
       12.329373           47.988871           53454.015           12676.095          0.38036117E+43      0.47585792E-17
       13.065727           43.184725           63118.491           13929.421          0.45618560E+44      0.49304201E-17
       13.846059           38.195238           74314.760           15428.346          0.24689761E+45      0.50523408E-17
       14.672994           33.150869           87043.813           17228.662          0.16844119E+46      0.49848202E-17
       15.549318           28.463533           101276.72           19311.523          0.75869000E+46      0.48563371E-17
       16.477978           23.847214           116346.08           21842.344          0.29430494E+47      0.46954369E-17
       17.462101           20.133415           133583.17           24605.601          0.18285869E+48      0.44187413E-17
       18.505000           16.873634           151103.06           27718.234          0.45616057E+48      0.41967401E-17
       19.610184           14.304784           168772.81           30948.251          0.24140361E+49      0.38333503E-17
       20.781374           12.403195           182191.21           33877.985          0.35781394E+49      0.36799952E-17
       22.022511           10.746037           189004.44           36733.099          0.62122991E+49      0.34192266E-17
       23.337773           9.4861007           194161.78           39360.154          0.80099505E+49      0.31863563E-17
       24.731588           8.4450588           194812.19           41750.199          0.88929280E+49      0.30260445E-17
       26.208646           7.7478638           192023.66           43431.122          0.97223611E+49      0.29148577E-17
       27.773919           7.4027869           187974.33           44195.554          0.99092455E+49      0.28709361E-17
       29.432676           7.3619313           186112.29           44207.860          0.98163271E+49      0.28703266E-17
       31.190500           7.4907000           183881.00           43694.300          0.94446584E+49      0.28994184E-17
