col0 method number_of_models_used mcore Dmcore sigma Dsigma mstar Dmstar theta_view Dtheta_view dist av Dav rcore Drcore massenv Dmassenv theta_w_esc Dtheta_w_esc rstar Drstar lstar Dlstar tstar Dtstar mdisk Dmdisk rdisk Drdisk mdotd Dmdotd lbol Dlbol lbol_iso Dlbol_iso lbol_av Dlbol_av t_now Dt_now Source_Name
"" "average model method 2" 273 387.21753 1.28489 1.81933 1.77869 26.12206 1.47479 56.25492 21.77143 2400.0 251.54464 130.58342 0.10735 1.46570 328.07174 1.33274 1.70276e+01 6.16579 17.40036 1.93051 2.04722e+05 1.84478 2.94485e+04 1.47644 8.70735 1.47479 6.60789e+01 1.59234 1.25152e-03 1.43074 2.59268e+05 1.87307 2.03116e+05 2.11391 7.65345e+04 1.05925 4.03574e+04 1.67076 G010.3009-00.1477
"" "average model method 2" 124 352.90872 1.52587 0.26999 3.48473 55.93328 1.75763 65.48905 15.44151 12600.0 22.10407 19.51240 0.26605 2.21711 155.16137 1.93365 4.48404e+01 14.28671 11.56714 1.50334 4.59960e+05 2.75922 4.42200e+04 1.13384 18.64443 1.75763 3.63452e+02 1.94967 3.16935e-04 2.33311 5.15734e+05 2.66211 1.12986e+05 1.30605 8.85925e+04 1.06260 2.70666e+05 2.30687 G010.3204-00.2328
"" "average model method 2" 12 244.22867 1.66794 0.23709 4.76715 48.20892 1.34692 75.08781 14.70673 3500.0 4.23551 7.70727 0.23618 2.79565 97.80058 2.08673 4.97420e+01 7.69131 10.17355 1.11043 3.75787e+05 1.46508 4.48282e+04 1.07894 16.06964 1.34692 3.80173e+02 2.34252 2.32911e-04 2.69276 4.20934e+05 1.41804 7.70571e+04 1.18656 7.26744e+04 1.09941 3.05324e+05 3.12908 G010.3204-00.2586
"" "average model method 2" 772 320.98937 1.54291 0.70830 3.66101 41.89170 1.65350 61.95437 17.23397 11000.0 27.34172 30.79560 0.15665 2.20506 194.47533 1.82766 3.32690e+01 12.84846 12.19965 1.58804 3.42066e+05 2.23976 3.99858e+04 1.28071 13.96390 1.65350 1.68165e+02 2.24593 6.49001e-04 2.51033 4.13530e+05 2.20094 1.32925e+05 1.60463 1.07523e+05 1.56171 1.12531e+05 2.72731 G010.4724+00.0275
"" "average model method 2" 2433 257.79401 1.71577 0.66607 3.41585 33.06056 1.81528 54.45537 22.08180 11000.0 43.01795 71.00177 0.14477 2.17502 147.21119 2.21686 3.38280e+01 15.57518 11.10721 1.74371 2.06065e+05 2.86281 3.69190e+04 1.37522 11.02019 1.81528 1.54200e+02 2.28023 5.06931e-04 2.46246 2.56300e+05 2.74164 1.55946e+05 3.56203 7.10686e+04 1.82443 1.10711e+05 2.61952 G010.4736+00.0274
"" "average model method 2" 243 317.94187 1.34375 1.56045 2.03042 33.47706 1.55095 58.97359 18.97547 2400.0 94.64836 55.72372 0.10504 1.62081 238.57794 1.35282 2.39854e+01 7.90470 13.38557 1.66425 2.86493e+05 1.89705 3.65184e+04 1.34412 11.15902 1.55094 9.13513e+01 1.74810 1.15640e-03 1.51841 3.71609e+05 1.83805 1.70682e+05 1.39520 1.08653e+05 1.15786 5.46461e+04 1.85284 G010.6223-00.3788
"" "average model method 2" 67 248.02031 1.24064 2.85062 1.39238 26.88180 1.32452 55.82916 20.22532 2400.0 131.68980 49.20680 0.06864 1.29192 192.68289 1.25491 2.04972e+01 4.89117 19.46929 1.43350 2.86141e+05 1.50431 3.02707e+04 1.29058 8.96060 1.32452 6.05990e+01 1.39818 1.57832e-03 1.18919 3.44020e+05 1.54321 1.88780e+05 1.36175 1.02196e+05 1.09264 3.31174e+04 1.38862 G010.6234-00.3837
"" "average model method 2" 70 251.54423 1.24908 2.86323 1.38323 25.77509 1.32328 54.79102 20.46857 2400.0 128.34515 56.21304 0.06897 1.28633 198.00532 1.29117 1.97455e+01 4.87870 20.28555 1.47423 2.64647e+05 1.60201 2.90821e+04 1.32671 8.59170 1.32328 5.82922e+01 1.37455 1.56125e-03 1.21749 3.16944e+05 1.64636 1.79116e+05 1.39216 9.97134e+04 1.09000 3.21474e+04 1.36030 G010.6240-00.3813
"" "average model method 2" 139 368.31777 1.30911 1.90722 1.77364 37.05308 1.62734 58.15633 18.00894 13700.0 27.26110 30.93024 0.10226 1.47894 277.23958 1.32237 2.34220e+01 9.67208 17.70033 1.60584 3.93714e+05 1.71185 3.43840e+04 1.36979 12.35103 1.62734 8.70169e+01 1.84757 1.46810e-03 1.28118 4.79776e+05 1.72727 2.23893e+05 1.20138 1.92111e+05 1.16395 4.77952e+04 1.86578 G010.9584+00.0221
"" "average model method 2" 81 166.10835 1.71524 0.28620 3.96084 30.89893 1.51524 69.29020 13.49368 2700.0 16.79142 14.39027 0.17728 2.53911 69.47796 2.29780 4.60986e+01 10.92221 8.82932 1.50590 1.47463e+05 2.13564 3.80854e+04 1.29329 10.29964 1.51524 2.62976e+02 2.00211 2.02834e-04 2.35523 1.69907e+05 2.13214 3.59382e+04 1.21451 3.00175e+04 1.08006 2.30789e+05 2.56313 G010.9656+00.0089
"" "average model method 2" 10 327.25779 1.45255 1.58421 2.23627 49.65906 1.52630 35.62848 7.96303 16800.0 2.97506 5.99343 0.10576 1.77933 206.74576 1.52018 3.15890e+01 7.90456 13.01070 1.28411 5.33926e+05 1.60177 4.32784e+04 1.20230 16.55302 1.52630 1.24196e+02 1.80381 1.35523e-03 1.55375 6.82579e+05 1.58699 4.38563e+05 1.21024 4.17775e+05 1.13804 6.64519e+04 1.96017 G011.1104-00.3985
"" "average model method 2" 35 251.76696 1.71887 0.19949 3.72606 37.63453 1.47994 67.47237 16.44002 12800.0 14.03495 13.81668 0.26142 2.51784 136.88657 1.93306 4.10454e+01 9.10508 9.57703 1.40914 2.27369e+05 1.87647 4.07492e+04 1.22823 12.54484 1.47994 3.18654e+02 2.18730 2.07112e-04 2.17882 2.55481e+05 1.83335 7.44658e+04 1.19479 6.42397e+04 1.05550 2.96388e+05 2.66694 G011.1712-00.0662
