#                Mst       Rst                 Lst                 Tst                Phi                 sig
      0.99990000E-01       1.6846318           30.265029           10435.842          0.30832448E+38      0.37255606E-17
      0.10572769           1.6523742           33.521587           10809.952          0.91289465E+38      0.39940751E-17
      0.11179463           1.6200789           37.145511           11201.112          0.28998448E+39      0.43590395E-17
      0.11820970           1.5885385           41.165977           11606.028          0.85932822E+39      0.46296763E-17
      0.12499289           1.5578836           45.615766           12024.207          0.10804979E+40      0.45963827E-17
      0.13216532           1.5280881           50.538611           12455.900          0.25321946E+40      0.47121509E-17
      0.13974931           1.4992189           55.984945           12901.218          0.56431549E+40      0.48028221E-17
      0.14776850           1.4731960           61.930735           13347.304          0.14271401E+41      0.48700549E-17
      0.15624785           1.4465995           68.551992           13815.904          0.39645000E+41      0.49209168E-17
      0.16521377           1.4211290           75.851928           14296.172          0.81779751E+41      0.49797636E-17
      0.17469417           1.3976588           83.865915           14782.217          0.13908539E+42      0.50328862E-17
      0.18471859           1.3782555           92.411443           15251.393          0.24954263E+42      0.50521911E-17
      0.19531824           1.3679575           101.16725           15659.237          0.44075643E+42      0.50506734E-17
      0.20652612           1.3726866           109.57436           15947.444          0.66984069E+42      0.50456071E-17
      0.21837714           1.3956548           117.15692           16082.438          0.82183163E+42      0.50413075E-17
      0.23090820           1.4333287           124.02929           16097.475          0.88200023E+42      0.50406915E-17
      0.24415833           1.4825743           130.35588           16026.058          0.86873040E+42      0.50434738E-17
      0.25816878           1.5385076           136.61943           15917.699          0.80718911E+42      0.50463315E-17
      0.27298319           1.5975735           143.02239           15800.584          0.73629812E+42      0.50485985E-17
      0.28864770           1.6611273           149.51835           15668.381          0.65832734E+42      0.50505523E-17
      0.30521107           1.7301024           156.09046           15518.973          0.57689882E+42      0.50519089E-17
      0.32272489           1.8021472           162.95542           15370.108          0.50582259E+42      0.50524660E-17
      0.34124371           1.8732754           170.38725           15244.452          0.45634416E+42      0.50522021E-17
      0.36082518           1.9456591           178.39028           15130.760          0.41865948E+42      0.50513973E-17
      0.38153029           2.0167424           187.20830           15042.020          0.39596522E+42      0.50503178E-17
      0.40342351           2.0860296           196.76967           14975.493          0.38756858E+42      0.50480853E-17
      0.42657303           2.1540510           207.16341           14928.004          0.39129113E+42      0.50447316E-17
      0.45105093           2.2191582           218.63131           14906.768          0.40528861E+42      0.50431174E-17
      0.47693343           2.2797851           231.36401           14916.779          0.43274452E+42      0.50438160E-17
      0.50430114           2.3344562           245.59636           14962.747          0.47860255E+42      0.50471649E-17
      0.53323928           2.3812773           261.66466           15051.552          0.55995430E+42      0.50504766E-17
      0.56383797           2.4183206           280.11113           15192.318          0.70591742E+42      0.50518592E-17
      0.59619250           2.4417626           301.59458           15400.991          0.97070834E+42      0.50524173E-17
      0.63040361           2.4617588           325.20920           15630.078          0.13692945E+43      0.50509598E-17
      0.66657785           2.4770509           351.30958           15885.432          0.19966405E+43      0.50470196E-17
      0.70482786           2.4917757           379.60822           16148.225          0.28281678E+43      0.50386471E-17
      0.74527276           2.5069692           409.89048           16411.347          0.38838481E+43      0.50274718E-17
      0.78803850           2.5273261           442.01776           16656.317          0.52409089E+43      0.50159472E-17
      0.83325824           2.5353537           478.88945           16966.414          0.75414061E+43      0.49999155E-17
      0.88107282           2.5595500           515.34937           17198.520          0.97472285E+43      0.49865736E-17
      0.93163113           2.5807709           555.21880           17449.739          0.12721095E+44      0.49715019E-17
      0.98509060           2.6008245           598.51507           17711.770          0.16753298E+44      0.49549686E-17
       1.0416177           2.6292506           643.29656           17936.485          0.21369100E+44      0.49401468E-17
       1.1013885           2.6508709           692.95096           18198.204          0.27773806E+44      0.49211897E-17
       1.1645891           2.6808629           744.18311           18421.702          0.34902435E+44      0.49042319E-17
       1.2314164           2.7128070           798.73935           18639.900          0.43658469E+44      0.48871295E-17
       1.3020783           2.7631825           851.99063           18769.534          0.51019484E+44      0.48766324E-17
       1.3767950           2.8257933           905.28638           18844.130          0.57104921E+44      0.48705948E-17
       1.4557992           2.8862184           963.03187           18936.344          0.64810344E+44      0.48629688E-17
       1.5393368           2.9497457           1023.3522           19018.063          0.72305798E+44      0.48575912E-17
       1.6276681           2.9971917           1094.0525           19184.570          0.79926216E+44      0.48569859E-17
       1.7210680           3.0699640           1160.6151           19237.884          0.85678870E+44      0.48567581E-17
       1.8198275           3.1827468           1216.9008           19118.961          0.87729148E+44      0.48572612E-17
       1.9242540           3.2957861           1276.7830           19015.175          0.90149834E+44      0.48575878E-17
       2.0346728           3.4295761           1333.2040           18843.193          0.84042357E+44      0.48706947E-17
       2.1514278           3.5861999           1384.6664           18602.600          0.73745098E+44      0.48900827E-17
       2.2748824           3.7592283           1434.6676           18331.280          0.63131172E+44      0.49112502E-17
       2.4054213           3.9685734           1476.0801           17968.516          0.50287996E+44      0.49379074E-17
       2.5434507           4.1922944           1516.7243           17601.780          0.39029843E+44      0.49620014E-17
       2.6894007           4.4553426           1549.3729           17165.327          0.28552578E+44      0.49886165E-17
       2.8437257           4.7667999           1574.2553           16661.437          0.18751378E+44      0.50157496E-17
       3.0069062           5.1308138           1589.1916           16097.528          0.11311328E+44      0.50406329E-17
       3.1794505           5.5654638           1591.8933           15462.455          0.55034857E+43      0.50522578E-17
       3.3618959           6.1068082           1577.2278           14727.566          0.24930367E+43      0.50281515E-17
       3.5548104           6.8451127           1531.9450           13809.782          0.87542491E+42      0.49203173E-17
       3.7587949           7.9495941           1441.0802           12621.051          0.94027757E+41      0.47471094E-17
       3.9744846           12.892091           1166.6773           9549.5154          0.11016140E+39      0.35214945E-17
       4.2025511           33.322359           2490.2170           7067.6300          0.64511935E+33      0.20708249E-17
       4.4437047           39.389185           2940.1493           6775.7705          0.25661629E+33      0.20729819E-17
       4.6986963           42.876222           3352.0727           6710.7583          0.25100492E+33      0.21068832E-17
       4.9683200           44.422171           3781.0950           6794.4075          0.35359187E+33      0.20777647E-17
       5.2534154           44.598634           4248.8856           6981.6327          0.73489619E+33      0.20577419E-17
       5.5548704           44.045001           4785.1859           7237.3031          0.29807372E+34      0.21397092E-17
       5.8736236           42.903698           5414.5995           7562.9945          0.26363994E+35      0.22124604E-17
       6.2106678           41.433144           6159.7975           7948.1992          0.87306408E+36      0.37440691E-17
       6.5670525           39.739861           7061.6449           8397.7727          0.14097599E+38      0.35096746E-17
       6.9438874           38.015679           8188.7384           8909.8963          0.12672192E+39      0.32460777E-17
       7.3423462           36.193237           9601.9962           9502.2782          0.79029002E+39      0.35172240E-17
       7.7636695           34.149252           11373.097           10205.398          0.63943532E+40      0.36281462E-17
       8.2091696           31.812285           13578.808           11052.795          0.71289183E+41      0.42220034E-17
       8.6802336           29.180644           16297.515           12079.159          0.42615700E+42      0.46131864E-17
       9.1783285           26.295868           19618.984           13328.766          0.43649074E+43      0.48676575E-17
       9.7050055           23.397441           23694.936           14815.019          0.40464154E+44      0.50356939E-17
       10.261905           20.356853           28307.224           16606.721          0.32093091E+45      0.50182979E-17
       10.850760           17.464142           33551.881           18706.766          0.19222719E+46      0.48817472E-17
       11.473405           14.815464           39337.425           21130.402          0.64376988E+46      0.47600221E-17
       12.131780           12.501699           45582.806           23872.179          0.40383106E+47      0.45006682E-17
       12.827934           10.532430           52318.804           26923.013          0.11358556E+48      0.42854388E-17
       13.564035           9.1254190           57688.899           29812.755          0.51375165E+48      0.39297669E-17
       14.342375           7.8085338           63148.144           32761.587          0.90921658E+48      0.37570695E-17
       15.165379           6.9550727           64891.642           34954.364          0.16114835E+49      0.35966364E-17
       16.035609           6.3318135           65467.417           36713.671          0.21462914E+49      0.34213406E-17
       16.955775           5.9254573           65276.780           37921.765          0.24717559E+49      0.32938116E-17
       17.928742           5.7428934           65398.316           38536.971          0.26315457E+49      0.32374431E-17
       18.957541           5.7521397           67212.308           38770.263          0.27656155E+49      0.32159702E-17
       20.045376           5.8685287           70301.190           38817.357          0.29057539E+49      0.32115783E-17
       21.195633           6.0398159           74868.341           38869.541          0.31101873E+49      0.32066045E-17
       22.411894           6.1863939           79692.219           39010.707          0.33498149E+49      0.31940673E-17
       23.697949           6.3304031           83711.769           39042.017          0.35128701E+49      0.31933994E-17
       25.057800           6.4799700           85063.400           38743.700          0.34914265E+49      0.32183837E-17
