#Thompson 1984
#log(L/Lo)  log Ne**2V  log N_l
-0.17         41.         28.42
0.00          41.90       29.32
0.10          42.44       29.85
0.11          42.49       29.90
0.22          43.14       30.55
0.28          43.50       30.91
0.34          43.85       31.26
0.38          44.06       31.47
0.48          44.59       32.00
0.56          45.01       32.43
0.66          45.39       32.80
0.77          45.80       33.21
0.78          45.86       33.27
0.94          46.78       34.19
1.11          47.81       35.22
1.16          48.22       36.63
1.23          48.79       36.20
1.27          49.11       36.53
1.29          49.27       36.69
1.35          49.77       37.19
1.37          49.93       37.34
1.43          50.24       37.65
1.55          50.85       38.26
1.69          51.39       38.81
1.74          51.62       39.04
1.79          51.85       39.26
1.88          52.26       39.67
1.97          52.62       40.03
2.06          52.98       40.39
2.13          53.29       40.71
2.22          53.60       41.02
2.30          53.88       41.30
2.42          54.23       41.65
2.50          54.47       41.89
2.61          54.80       42.22
2.68          55.01       42.42
2.85          55.52       42.93
3.01          55.95       43.36
3.03          56.0        43.41
3.37          56.83       44.24
3.45          57.04       44.45
3.69          57.66       45.08
3.70          57.69       45.11
3.92          58.36       45.78
4.03          58.70       46.12
4.33          59.62       47.03
4.40          59.82       47.23
4.58          60.34       47.75
4.66          60.57       47.98
4.70          60.68       48.09
4.73          60.73       48.14
4.81          60.85       48.26
4.92          61.02       48.43
5.00          61.15       48.56
5.17          61.41       48.83
5.40          61.67       49.08
5.60          61.95       49.36       
5.83          62.21       49.62
6.11          62.52       49.93









