## Scaife et al. 2011, 2012 Perseus and Serpens
## Units of Pdot are (Moyr^-1kms^-1)
## Units of Sd**2 are [mJykpc**2]  
Name              dist(kpc)      Flux(uJy)         Sd**2          Lbol(Lo)       Pdot       Refs
Sc1                   0.25            336.2           na              2.3           1.3e-6      Scaife_2011
Sc2                   0.25            499.9           na              1.5           9.6e-6      Scaife_2011       
Sc3                   0.25            191.6           na              1.1           1.4e-6      Scaife_2011       
Sc4                   0.25            128.5           na              0.8           9.8e-6      Scaife_2011        
Sc5                   0.25            578.9           na              0.2           3.4e-6      Scaife_2011      
Sc6                   0.25            911.1           na              1.8           4.8e-6      Scaife_2011         
Sc7                   0.25            490.6           na              1.1           4.0e-6      Scaife_2011     
Sc8                   0.25            93              na              0.32          0.5e-6      Scaife_2011         
Sc9                   0.25            110             na              0.18          na          Scaife_2011         
Sc10                  0.25            1856.8          na              3.3           21.5e-6     Scaife_2011          
Sc11                  0.25            1858.7          na              10.4          28.4e-6     Scaife_2011         
Sc12                  0.25            473.0           na              3.8           16.3e-6     Scaife_2011        
Sc13                  0.25            610.2           na              2.5           7.9e-6      Scaife_2011          
Sc14                  0.25            140.            na              1.2           2.8e-6      Scaife_2011         
Sc15                  0.25            1135.           na              4.3           7.3e-6      Scaife_2011         
Sc16                  0.25            98.             na              2.0           2.5e-6      Scaife_2011           
Sc17                  0.25            116.            na              1.1           1.4e-6      Scaife_2011          
Sc18                  0.25            1587.           na              5.2           35.5e-6     Scaife_2011           
Sc19                  0.25            391.3           na              4.6           8.2e-6      Scaife_2011         
Sc20                  0.25            233.4           na              13.8          56.7e-6     Scaife_2011            
Sc21                  0.25            236.            na              2.0           2.1e-6      Scaife_2011          
Sc22                  0.25            217.            na              4.1           na          Scaife_2011            
Sc23                  0.25            245             na              3.4           129e-6      Scaife_2011           
Sc24                  0.25            227.7           na              0.24          na          Scaife_2011          
Sc25                  0.25            116.            na              0.02          na          Scaife_2011        
Sc26                  0.25            275.6           na              0.22          na          Scaife_2011         
Sc27                  0.25            87.             na              0.20          na          Scaife_2011    
Sc28                  0.25            96.             na              0.06          na          Scaife_2011      
Sc29                  0.25            320.2           na              1.2           0.9e-6      Scaife_2011           
Sc30                  0.25            305.1           na              1.1           3.7e-6      Scaife_2011     
Sc31                  0.25            87.             na              1.1           na          Scaife_2011        
Sc32                  0.25            223.            na              0.04          na          Scaife_2011      
Sc33                  0.25            227.8           na              1.0           na          Scaife_2011        
Sc34                  0.25            98.             na              0.04          na          Scaife_2011        
Sc35                  0.25            90.             na              0.45          na          Scaife_2011       
Sc36                  0.25            90.1            na              0.64          na          Scaife_2011       
Sc37                  0.25            114.            na              0.57          na          Scaife_2011         
Sc38                  0.25            206.7           na              0.29          na          Scaife_2011       
Sc39                  0.25            125.            na              0.26          na          Scaife_2011          
Sc40                  0.26            4736.           na              17.3          na          Scaife_2012           
Sc41                  0.26            1301.           na              2.6           na          Scaife_2012             
Sc42                  0.26            101.            na              1.2           na          Scaife_2012      
Sc43                  0.26            102.            na              4.4           na          Scaife_2012           
Sc44                  0.26            110.            na              1.7           na          Scaife_2012        
Sc45                  0.26            355.            na              2.1           na          Scaife_2012           
Sc46                  0.26            245.            na              1.1           na          Scaife_2012        
Sc47                  0.26            125.            na              5.8           na          Scaife_2012       
Sc48                  0.26            148.            na              13.8          na          Scaife_2012         
Sc49                  0.26            151.            na              0.62          na          Scaife_2012       
