SOMA SOURCE,RA(J2000),DEC(J2000),SOFIA,NIR,ALMA,"VLA
ATCA","SOMA
PAPER",Comments,
Type I,,,,,,,,,COMMENTS: This repo from Simon Purser has several data sets of VLA data for HMYSOs https://github.com/SimonP2207/RadioJetsFromYSOs
G019.75-00.13,18:27:31.60,-11:45:54.72,,,,,,,
G023.20-00.00,18:33:32.91,-08:39:18.40,,,,,,,
G024.18+00.12,18:34:57.21,-07:43:26.58,,,,,,,
G027.36-00.17,18:41:50.98,-05:01:45.15,,,,,,,
G028.37+00.07,18:42:52.52,-04:00:14.98,,,,,V,It appears in the HST archive with this name but it is in reallity G028.20-00.05 (Paul's),
G028.20-00.05,18:42:58.14,-04:14:04.87,,,,,,Paul's source. Appears in the HST archive as G028.37+00.07,
G030.59-00.04,18:47:18.88,-02:06:17.25,,,,,IV,,
G031.28+00.06,18:48:11.82,-01:26:31.01,,,,,,,
G034.40+00.23,18:53:18.67 ,1:24:47.67 ,,,,,,,
G049.27-00.34,19:23:07.00,14:20:15.81,,,,,II,,
Type II,,,,,,,,,
IRAS 07299-1651,07:32:09.70,-16:58:14.00,,,,,I,,
G016.14+00.01,18:20:04.60,-14:53:25.94,,,,,,,
G018.83-00.30,18:26:23.61,-12:39:40.70,,,,,,,
G021.39-00.25,18:31:03.92,-10:22:45.28,,,,,,,
G025.40+00.56,18:35:37.44,-06:26:38.34,,,,,,,
G028.69+00.18,18:43:03.23,-03:41:45.79,,,,,,,
G032.03+00.05,18:49:37.05,-00:46:50.22,,,,,IV,,
G035.20-00.74,18:58:13.03,01:40:36.14,,,,,I,,
G035.47+00.14,18:55:34.16,02:19:10.69,,,,,,,
G035.03+00.35,18:54:00.49,02:01:18.21,,,,,,,
G035.58-00.03,18:56:22.50,02:20:27.00 ,,,,,II,,
G040.62-00.14,19:06:01.63 ,06:46:36.90,,,,,IV,,
G045.47+00.05,19:14:25.74,11:09:25.90,,,,,I,,
AFGL 5180,06:08:53.30,21:38:30.50,,,,,V,,
AFGL 2591,20:29:24.90,40:11:20.30,,,,,IV,,
IRAS 20126+4104,20:14:26.03 ,41:13:32.60 ,,,,,I,,
AFGL 437,03:07:24.60,58:30:44.40,,,,,I,,
AFGL 4029,03:01:31.30,60:29:12.90,,,,,I,,
NGC7538 IRS9,23:14:01.72,61:27:19.50,,,,,I,,
Cep A,22:56:18.00,62:01:49.50,,,,,I,,
Type III,,,,,,,,,
G011.94-00.62,18:14:01.10,-18:53:23.53,,,,,,,
G018.30-00.39,18:25:42.30,-13:10:19.00,,,,,,,
G019.08-00.29,18:26:48.43,-12:26:28.04,,,,,,,
G023.96+00.15,18:34:25.20,-07:54:45.83,,,,,,,
G025.40-00.14,18:38:08.27,-06:45:58.16,,,,,IV,,
G029.96-00.02,18:46:04.18,-02:39:21.28,,,,,,,
G033.91+00.11,18:52:50.43,00:55:28.68,,,,,IV,,
G037.87-00.40,19:01:53.59,04:12:51.73,,,,,,,
G045.12+00.13,19:13:27.96,10:53:35.69,,,,,II,,
Type IV,,,,,,,,,
G010.62-00.38,18:10:28.75,-19:55:56.46,,,,,,,
G012.81-00.20,18:14:13.96,-17:55:44.87,,,,,,,
G018.67+00.03,18:24:52.62,-12:39:19.85,,,,,V,,
G030.76+00.20,18:46:44.53 ,-01:50:28.59 ,,,,,V,,
G030.77-00.03,18:47:36.61,-01:56:35.88,,,,,,,
G043.80-00.13,19:11:54.37,09:35:49.75,,,,,,,
G049.37-00.30,19:23:10.61,14:26:30.89,,,,,,,
W51 e2; North/IRS2,19:23:42.00,14:30:50.00,,,,,,,
G058.77+00.65,19:38:48.65,23:08:40.13,,,,,V,,
G061.48+00.09,19:46:49.07,25:12:44.00,,,,,,,
W3 IRS5,02:25:41.40,62:06:21.80,,,,,V,,
"Type V
 (Intermediate Mass)",,,,,,,,,
OMC1-S 137-408,05:35:13.70,-05:24:07.00,,,,,V,,
MMS 6/OMC3,05:35:23.42,-05:01:30.57,,,,,,,
OMC-2/3 MM7,05:35:26.69,-05:03:54.90,,,,,,,
NGC 2071,05:47:04.70,00:21:44.00,,,,,III,,
IRAS 05380+2020,05:40:54.00,20:22:45.00,,,,,,,
S235 NE-SW,05:40:53.40,35:41:49.00,,,,,III,,
IRAS 20293+3952 A,20:31:10.70,40:03:10.70,,,,,,,
IRAS 20343+4129 S1,20:36:07.53,41:40:09.10,,,,,V,,
IRAS 21307+5049,21:32:30.60,51:02:16.50,,,,,,,
IRAS 00420+5530,00:44:58.00,55:47:00.00,,,,,IV,,
IRAS 22171+5549,22:19:08.60,56:05:02.00,,,,,III,,
IRAS 00259+5625,00:28:42.00,56:42:00.00,,,,,IV,,
IRAS 01082+5717,01:11:21.00,57:33:20.00,,,,,,,
IRAS 21391+5802,21:40:42.40,58:16:10.00,,,,,III,,
IRAS 23385+6053,23:40:54.50,61:10:28.10,,,,,IV,Osorio et al. 1999,
Cepheus E,23:03:13.60,61:42:43.50,,,,,III,,
IRAS 22198+6336,22:21:26.78,63:51:37.60,,,,,III,,
HH 288,00:37:13.60,64:04:15.00,,,,,IV,,
L1206,22:28:51.41,64:13:41.10,,,,,III,,
"Type VI
 (Southern Hemisphere)",,,,,,,,,
G305.20+0.21,13:11:10.47,-62:34:39.00,,,,,"II, III",,
G309.92+0.48,13:50:41.76,-61:35:10.10,,,,,II,,
G305.80-0.24,13:16:44.00,-62:58:21.20,,,,,,,
G317.43-00.56,14:51:37.60,-60:00:19.80,,,,,,,
G318.95-0.20,15:00:55.40,-58:58:53.0,,,,,,,
G337.40-0.40,16:38:50.50,-47:28:02.70,,,,,,,
G339.88-1.26,16:52:04.66,-46:08:34.20,,,,,II,,
G345.01+1.79,16:56:47.40,-40:14:25.80,,,,,,,
IRAS 16562-3959,16:59:41.60,-40:03:44.00,,,,,"II, III",,
G351.41+00.64,17:20:53.35,-35:47:01.50,,,,,,,
G352.52-0.15,17:27:11.32,-35:19:32.80,,,,,,,
G009.99-00.03,18:07:52.84,-20:18:29.30,,,,,,,
NEW ADDITIONS,,,,,,,,,
IRAS18264-1152,18:29:14.6846,-11 50 23.966,,,,,,,
