No.	Source_Name	Source_Type	RA(J2000)	Dec(J2000)	Flux (mJy)	Angular_Size(arcsec)	Dist_h(kpc)	log(Lbol)
1	G010.4624+00.0343	HII-Region	18:08:35.42	-19:52:09.50	215.39	5.50	nan	nan
2	G014.4894+00.0194	HII-Region	18:16:46.89	-16:20:36.84	36.60	4.63	2.8	3.19
3	G018.6738-00.2363	HII-Region	18:25:51.43	-12:46:20.70	109.43	11.66	12.5	4.4
4	G019.4912+00.1352	HII-Region	18:26:04.32	-11:52:35.18	415.07	11.92	13.7	5.14
5	G019.6062-00.9018	HII-Region	18:30:02.78	-12:15:21.95	78.01	8.86	13	4.92
6	G019.6781-00.1318	HII-Region	18:27:23.52	-11:50:01.40	122.77	13.20	11.8	4.67
7	G019.7407+00.2821	HII-Region	18:26:01.52	-11:35:11.18	239.01	17.95	14	4.63
8	G020.0789-00.1383	HII-Region	18:28:10.65	-11:29:06.40	295.86	19.66	nan	nan
9	G020.4319+00.3572	HII-Region	18:27:03.60	-10:56:24.43	10.10	1.64	17.4	4.72
10	G021.4257-00.5417	HII-Region	18:32:10.54	-10:28:34.19	94.85	10.22	4.1	4.19
11	G023.7074+00.1646	HII-Region	18:33:53.72	-08:07:39.41	667.77	30.16	nan	nan
12	G024.7984+00.0967	HII-Region	18:36:10.59	-07:11:21.13	219.46	11.23	nan	nan
13	G024.9237+00.0777	HII-Region	18:36:28.33	-07:05:11.56	172.48	14.93	3.3	3.42
14	G025.3055+00.5305	HII-Region	18:35:33.89	-06:32:20.71	50.69	6.91	14.1	4.7
15	G026.5444+00.4169	HII-Region	18:38:16.17	-05:29:31.91	413.36	12.59	9.8	5.2
16	G027.9782+00.0789	HII-Region	18:42:06.47	-04:22:19.66	124.00	9.47	4.8	4.18
17	G028.2447+00.0131	HII-Region	18:42:49.60	-04:09:50.50	63.25	7.28	8.3	4.37
18	G031.0709+00.0508	HII-Region	18:47:51.76	-01:38:03.37	248.58	10.37	11.8	4.58
19	G032.9906+00.0385	HII-Region	18:51:24.38	+00:04:12.81	157.76	15.24	nan	nan
20	G033.1419-00.0853	HII-Region	18:52:07.47	+00:08:52.69	12.97	3.65	nan	nan
21	G033.8113-00.1893	HII-Region	18:53:43.00	+00:41:45.12	105.01	12.95	10.9	5.24
22	G034.1324+00.4700	HII-Region	18:51:57.16	+01:17:00.39	425.01	10.12	11.5	5.11
23	G035.1378-00.7622	HII-Region	18:58:10.56	+01:36:57.28	201.82	15.17	nan	nan
24	G035.5734+00.0679	HII-Region	18:56:00.94	+02:22:53.81	285.24	9.07	10.4	4.99
25	G037.7633-00.2167	HII-Region	19:01:02.11	+04:11:57.50	337.64	14.56	9.2	4.37
26	G039.2450-00.0673	HII-Region	19:03:13.78	+05:35:22.80	420.86	27.19	nan	nan
27	G039.7277-00.3973	HII-Region	19:05:17.91	+05:51:49.14	133.30	15.94	8.8	4.18
28	G043.1625+00.0048	HII-Region	19:10:14.34	+09:05:49.86	76.55	3.17	nan	nan
29	G043.1845-00.5268	HII-Region	19:12:11.15	+08:52:22.30	352.51	18.96	nan	nan
30	G045.4790+00.1294	HII-Region	19:14:08.69	+11:12:23.86	504.23	13.72	6	4.49
31	G049.4867-00.3800	HII-Region	19:23:42.07	+14:30:39.72	7951.90	14.46	nan	nan
32	G050.2834-00.3904	HII-Region	19:25:18.46	+15:12:28.00	156.78	16.79	9.5	5.23
33	G052.0991+01.0432	HII-Region	19:23:37.27	+17:29:02.13	216.39	14.28	nan	nan
34	G053.1865+00.2085	HII-Region	19:28:52.31	+18:02:43.83	96.07	9.15	9.9	4.4
35	G060.8838-00.1295	HII-Region	19:46:20.79	+24:35:15.27	292.06	22.76	5.8	5.44
36	G061.2875-00.3327	HII-Region	19:48:00.10	+24:50:18.23	159.37	20.57	9.6	4.12
37	G061.4758+00.0913	HII-Region	19:46:48.02	+25:12:46.18	3466.32	15.98	nan	nan
