No.	Source_Name	Source_Type	RA(J2000)	Dec(J2000)	Flux(mJy) Angular_Size(arcsec)	MAGPIS 5GHz Flux(mJy)	Spectral index	S3_6	S4_5	S5_8	S8_0	Dist_h(kpc)	Diam(pc)	log(Tb)	log(Lbol)	Dist_G(kpc)
1	G010.3009-00.1477 UCHII	18:08:55.95	-20:05:55.34	631.39	5.45	1169.19	0.25	191.81	316.14	1982.12	5117.7	2.4	0.061	3.02	 	6.15
2	G010.3204-00.2328 UCHII	18:09:17.53	-20:07:23.07	32.43	3.23	28.78	-0.32	107.48	159.13	812.79	1646.41	12.6	0.18	2.18	4.51	4.5
3	G010.3204-00.2586 UCHII	18:09:23.28	-20:08:06.91	18.20	1.67	47.09	-0.58	8.68	57.5	213.39	495.73	3.5	0.028	2.5	4.18	5.1
4	G010.4724+00.0275 UCHII	18:08:38.18	-19:51:49.77	38.43	2.24	92.82	0.49		 	 	 	11	0.091	2.57	5.84	3.06
5	G010.4736+00.0274 UCHII	18:08:38.32	-19:51:45.60	19.30	2.03	94.83	0.07		 	 	 	11	0.075	2.36	 	3.06
6	G010.6218-00.3848 UCHII	18:10:28.75	-19:55:56.46	37.06	2.29	1238.9	-1.19	5.8	26.34	 	 	2.4	0.02	2.54	 	6.16
7	G010.6223-00.3788 UCHII	18:10:27.54	-19:55:45.75	483.33	5.76	1039.47	-0.06		53.54	 	 	2.4	0.065	2.85	 	6.16
8	G010.6234-00.3837 UCHII	18:10:28.70	-19:55:49.13	1952.22	4.64	3921.35	0.75	36.98	147.58	498.96	1128.85	2.4	0.051	3.65	4.95	6.16
9	G010.6240-00.3813 UCHII	18:10:28.19	-19:55:43.59	71.65	2.08	492.7	-0.94		 	117.75	522.44	2.4	0.016	2.91	 	6.16
10	G010.6297-00.3380 UCHII	18:10:19.23	-19:54:10.52	26.39	3.45	44.91	-0.81	106.73	162.38	1325.45	3592.56	4.95	0.074	2.03	 	3.75
11	G010.8519-00.4407 UCHII	18:11:09.53	-19:45:28.05	11.09	1.82		0.26		 	 	 	 	 	2.21	 	 
12	G010.9584+00.0221 UCHII	18:09:39.38	-19:26:27.98	195.97	2.20	326.65	1.18	25.54	85.09	250.68	522.95	13.7	0.11	3.3	5.27	5.59
13	G010.9656+00.0089 UCHII	18:09:43.06	-19:26:28.61	51.75	4.88	206.89	-0.79	47.99	65.33	378.14	1163.15	2.7	0.06	2.03	3.39	5.87
14	G011.0328+00.0274 UCHII	18:09:47.35	-19:22:24.32	5.69	1.89	4.14	0.26	15.93	23.95	201.82	532.55	2.6	0.015	1.89	2.87	5.97
15	G011.1104-00.3985 UCHII	18:11:31.99	-19:30:41.66	305.37	8.35	303.63	-0.05	255.78	391.37	2148.49	5957.55	16.8	0.67	2.33	5.65	8.62
16	G011.1712-00.0662 UCHII	18:10:25.11	-19:17:47.46	102.17	10.75	131.49	0.22	119.78	114.47	691.14	1766.8	12.8	0.66	1.64	4.43	4.76
17	G011.9032-00.1407 UCHII	18:12:11.26	-18:41:30.73	25.57	3.21	83.07	-0.14		40.18	118.8	248.42	4.1	0.056	2.09	4.11	4.57
18	G011.9039-00.1411 UCHII	18:12:11.42	-18:41:29.03	16.81	1.84	69.77	-0.32		 	 	 	4.1	0.022	2.38	 	4.57
19	G011.9368-00.6158 UCHII	18:14:01.10	-18:53:23.53	1155.90	5.89		0.4	256.25	609.17	3641.5	10277.65	4	0.11	3.21	 	4.66
20	G011.9446-00.0369 UCHII	18:11:53.26	-18:36:17.46	943.58	14.64	2036.45	-0.13	820.14	1048.06	4647.68	13816.6	12.6	0.89	2.33	5.01	4.63
21	G011.9786-00.0973 UCHII	18:12:10.78	-18:36:17.51	4.46	1.76	6.82	0.41		 	 	 	 	 	1.85	 	 
22	G012.1988-00.0345 UCHII	18:12:23.61	-18:22:53.67	62.71	2.68	102.95	0.31	29.57	177.31	512.85	811.23	11.9	0.13	2.63	5.3	4.02
23	G012.2081-00.1019 UCHII	18:12:39.69	-18:24:21.33	207.87	2.84	309.84	0.46	60.29	53.71	218.63	623.32	13.6	0.16	3.1	5.87	5.59
24	G012.4294-00.0479 UCHII	18:12:54.57	-18:11:08.62	45.17	2.72	103.16	-0.18		15.77	149.58	498.99	13.9	0.15	2.48	4.83	5.89
25	G012.4317-01.1112 UCHII	18:16:51.21	-18:41:28.23	69.01	4.40			122.36	235.54	1969.68	5774.6	4.1	0.081	2.24	 	4.58
26	G012.8050-00.2007 UCHII	18:14:13.96	-17:55:44.87	12616.40	16.22	26528.17	0.48	914.06	2585.81	13458.14	40822.39	2.1	0.16	3.37	 	6.47
27	G012.8131-00.1976 UCHII	18:14:14.16	-17:55:15.78	1500.39	5.43	593.9	0.56	101.42	380.61	2485.64	7721.11	2.1	0.053	3.4	 	6.47
28	G012.9995-00.3583 UCHII	18:15:12.18	-17:50:00.76	20.14	3.09	6.68	1.22	16.35	60.61	320.47	802.16	1.9	0.025	2.02	3.39	6.66
29	G013.2099-00.1428 UCHII	18:14:50.01	-17:32:44.49	946.76	8.35	1864.65	0.11	44.47	193.8	1385.79	3876.5	4.6	0.18	2.82	4.14	4.16
30	G013.3850+00.0684 UCHII	18:14:24.60	-17:17:32.35	603.94	19.18	1223.45	-0.36	410.91	521.85	3639.65	9936.61	1.9	0.18	1.91	3.55	6.67
31	G013.8726+00.2818 UCHII	18:14:35.81	-16:45:37.19	1447.55	15.43	4276.31	-0.4		900.18	6252.28	21687.65	4.4	0.33	2.47	4.84	4.36
32	G014.1046+00.0918 UCHII	18:15:45.10	-16:38:51.15	24.61	2.86	83.46	-0.78		 	 	 	 	 	2.17	 	 
33	G014.1741+00.0245 UCHII	18:16:08.46	-16:37:05.77	47.73	6.93	139.51	-0.46	39.69	54.71	436.16	1309.2	14.7	0.48	1.69	5.05	6.79
34	G014.2460-00.0728 UCHII	18:16:38.30	-16:36:06.15	51.26	3.93	87.89	-0.17		15.58	134.93	429.36	11.6	0.2	2.21	 	3.96
35	G014.5988+00.0198 UCHII	18:16:59.81	-16:14:49.42	4.39	1.85	3.45	-0.38	17.98	65.09	186.92	338.53	2.8	0.015	1.8	 	5.83
36	G014.7785-00.3328 UCHII	18:18:38.70	-16:15:22.36	18.25	2.31	39.47	0.29	8.86	24.07	96.88	291.01	13.1	0.11	2.23	5.09	5.34
37	G016.1448+00.0088 UCHII	18:20:04.60	-14:53:25.94	14.76	1.60	27.8	0.6	16.55	29.86	235.4	635.54	12.4	0.096	2.45	4.52	4.85
38	G016.3913-00.1383 UCHII	18:21:05.51	-14:44:32.58	124.27	11.74	43.18	0.61	78.31	83	384.31	947.84	12.2	0.69	1.64	4.25	4.7
39	G016.9445-00.0738 UCHII	18:21:56.02	-14:13:26.13	519.34	3.46		-0.22		 	 	 	11.1	0.32	2.94	 	7.6
40	G017.0299-00.0696 UCHII	18:22:05.05	-14:08:47.91	5.38	2.39	901.84	0.6	91.62	188.82	1034.45	2645.22	17	0.26	3.33	5.71	9.21
