# source                  RA.          Dec.   aperture_SOMA_deg   aperture_SOMA_pix   C_rms   K_rms   Dist_SOMA
S235                05:40:52.40  +35:41:30.0   	   12.0		    15.6250	      4.9257     9.7424  1.800
IRAS_22198          22:21:26.86  +63:51:38.2   	   25.6		    33.3333	      4.2479     8.8516	 0.764
NGC_2071            05:47:04.74  +00:21:42.9   	   9.6		    12.5000	      7.5564     13.701	 0.390
Cepheus_E           23:03:12.80  +61:42:26.0   	   23.0		    29.9479	      3.5050     9.7270	 0.730
L1206_A             22:28:51.41  +64:13:41.1   	   9.0		    11.7188	      4.4639     8.2184	 0.776
L1206_B             22:28:57.63  +64:13:37.4   	   10.0		    13.0208	      4.8831     11.272	 0.776
IRAS_22172_MIR1     22:19:08.33  +56:05:10.5   	   4.6		    5.98958	      6.6273     8.7295	 2.400
IRAS_22172_MIR2     22:19:09.48  +56:05:00.4   	   3.8		    4.94792	      6.6116     9.4282	 2.400
IRAS_22172_MIR3     22:19:09.43  +56:04:45.6   	   4.6		    5.98958	      7.1562     10.965	 2.400 
IRAS_21391_BIMA2    21:40:41.90  +58:16:12.3   	   7.7		    10.0260	      4.0177     9.0898	 0.750
IRAS_21391_BIMA3    21:40:42.77  +58:16:01.3   	   8.5		    11.0677	      4.1837     9.3395	 0.750
IRAS_21391_MIR48    21:40:41.43  +58:16:37.8   	   8.0		    10.4167	      4.2178     9.5324	 0.750

# SOMA_RADIO_3
