#LogLbol    LogNly05   LogNly95  
 1.00e+00   3.25e+01   3.46e+01
 1.12e+00   3.30e+01   3.58e+01
 1.23e+00   3.36e+01   3.69e+01
 1.35e+00   3.44e+01   3.78e+01
 1.47e+00   3.52e+01   3.85e+01
 1.58e+00   3.63e+01   3.90e+01
 1.70e+00   3.72e+01   3.94e+01
 1.82e+00   3.80e+01   3.98e+01
 1.93e+00   3.86e+01   4.03e+01
 2.05e+00   3.91e+01   4.07e+01
 2.17e+00   3.95e+01   4.11e+01
 2.28e+00   3.99e+01   4.15e+01
 2.40e+00   4.03e+01   4.18e+01
 2.52e+00   4.07e+01   4.22e+01
 2.63e+00   4.11e+01   4.25e+01
 2.75e+00   4.16e+01   4.29e+01
 2.87e+00   4.20e+01   4.33e+01
 2.98e+00   4.23e+01   4.36e+01
 3.10e+00   4.27e+01   4.40e+01
 3.22e+00   4.31e+01   4.44e+01
 3.33e+00   4.35e+01   4.47e+01
 3.45e+00   4.39e+01   4.50e+01
 3.57e+00   4.42e+01   4.53e+01
 3.68e+00   4.45e+01   4.57e+01
 3.80e+00   4.47e+01   4.60e+01
 3.92e+00   4.50e+01   4.63e+01
 4.03e+00   4.53e+01   4.66e+01
 4.15e+00   4.56e+01   4.69e+01
 4.27e+00   4.59e+01   4.72e+01
 4.38e+00   4.62e+01   4.75e+01
 4.50e+00   4.65e+01   4.78e+01
 4.62e+00   4.68e+01   4.80e+01
 4.73e+00   4.71e+01   4.82e+01
 4.85e+00   4.74e+01   4.84e+01
 4.97e+00   4.77e+01   4.86e+01
 5.08e+00   4.80e+01   4.88e+01
 5.20e+00   4.83e+01   4.89e+01
 5.32e+00   4.85e+01   4.91e+01
 5.43e+00   4.87e+01   4.92e+01
 5.55e+00   4.89e+01   4.94e+01
 5.67e+00   4.91e+01   4.95e+01
 5.78e+00   4.93e+01   4.96e+01
 5.90e+00   4.94e+01   4.97e+01
 6.02e+00   4.96e+01   4.99e+01
 6.13e+00   4.97e+01   5.00e+01
 6.25e+00   4.98e+01   5.01e+01
 6.37e+00   5.00e+01   5.02e+01
 6.48e+00   5.01e+01   5.03e+01
 6.60e+00   5.02e+01   5.04e+01
 6.72e+00   5.04e+01   5.05e+01
 6.83e+00   5.05e+01   5.06e+01
 6.95e+00   5.06e+01   5.07e+01
 7.07e+00   5.07e+01   5.09e+01
 7.18e+00   5.08e+01   5.10e+01
 7.30e+00   5.10e+01   5.11e+01
 7.42e+00   5.11e+01   5.12e+01
 7.53e+00   5.12e+01   5.13e+01
 7.65e+00   5.13e+01   5.14e+01
 7.77e+00   5.14e+01   5.15e+01
 7.88e+00   5.15e+01   5.17e+01
 8.00e+00   5.17e+01   5.18e+01
