#                Mst       Rst                 Lst                 Tst                Phi                 sig
      0.99990000E-01       1.2696125           16.939039           10397.497          0.15610510E+38      0.37073964E-17
      0.10551553           1.2470867           18.677999           10750.623          0.43420659E+38      0.39374612E-17
      0.11134641           1.2251477           20.594673           11114.558          0.12758153E+39      0.42808277E-17
      0.11749951           1.2046522           22.690097           11483.419          0.36145595E+39      0.45706897E-17
      0.12399263           1.1839018           25.013649           11869.474          0.63922711E+39      0.46430483E-17
      0.13084457           1.1645449           27.550731           12260.433          0.99635066E+39      0.46659925E-17
      0.13807515           1.1470553           30.308843           12651.581          0.20766816E+40      0.47533883E-17
      0.14570530           1.1328585           33.250814           13028.831          0.41278035E+40      0.48257875E-17
      0.15375710           1.1415795           35.759893           13217.359          0.63960125E+40      0.48527681E-17
      0.16225385           1.1559966           38.272612           13359.582          0.90461205E+40      0.48717028E-17
      0.17122013           1.1834890           40.515958           13392.886          0.10212360E+41      0.48757702E-17
      0.18068190           1.2212538           42.544398           13346.306          0.97842106E+40      0.48699117E-17
      0.19066654           1.2671358           44.450546           13246.726          0.84282222E+40      0.48569155E-17
      0.20120293           1.3189190           46.276189           13115.535          0.68013259E+40      0.48385459E-17
      0.21232157           1.3735404           48.167274           12981.408          0.54901871E+40      0.48179225E-17
      0.22405464           1.4294333           50.168135           12855.193          0.47127681E+40      0.47938112E-17
      0.23643609           1.4868095           52.308477           12737.095          0.40989707E+40      0.47706446E-17
      0.24950175           1.5457397           54.545052           12623.392          0.35698461E+40      0.47479811E-17
      0.26328943           1.6064170           56.905398           12514.468          0.31358251E+40      0.47250684E-17
      0.27783903           1.6667432           59.459184           12421.408          0.28100084E+40      0.47041778E-17
      0.29319265           1.7280010           62.176664           12336.350          0.25512216E+40      0.46842808E-17
      0.30939472           1.7946139           64.919271           12236.590          0.22555989E+40      0.46598161E-17
      0.32649214           1.8591926           67.978720           12161.387          0.20595194E+40      0.46376601E-17
      0.34453437           1.9205754           71.346474           12110.994          0.19759616E+40      0.46228986E-17
      0.36357363           1.9806966           75.022611           12076.490          0.19512311E+40      0.46125255E-17
      0.38366502           2.0388936           79.004083           12057.741          0.19891143E+40      0.46068184E-17
      0.40486668           2.0931738           83.407336           12062.831          0.21190400E+40      0.46083267E-17
      0.42723995           2.1433833           88.256995           12090.278          0.23537951E+40      0.46165542E-17
      0.45084959           2.1881799           93.706121           12146.363          0.27638973E+40      0.46333048E-17
      0.47576393           2.2205605           100.07844           12257.485          0.36013071E+40      0.46651480E-17
      0.50205504           2.2422125           107.43169           12416.392          0.50352253E+40      0.47029850E-17
      0.52979903           2.2595684           115.53686           12595.396          0.72343420E+40      0.47417054E-17
