col0 method number_of_models_used mcore Dmcore sigma Dsigma mstar Dmstar theta_view Dtheta_view dist av Dav rcore Drcore massenv Dmassenv theta_w_esc Dtheta_w_esc rstar Drstar lstar Dlstar tstar Dtstar mdisk Dmdisk rdisk Drdisk mdotd Dmdotd lbol Dlbol lbol_iso Dlbol_iso lbol_av Dlbol_av t_now Dt_now Source_Name
"" "average model method 2" 34 103.82005 1.40882 0.21060 4.11034 18.06135 1.63102 67.29922 16.77635 2800.0 15.05918 15.60442 0.16339 2.27845 34.81695 3.84660 4.52935e+01 13.94806 6.25319 1.67667 3.73013e+04 3.08268 3.20946e+04 1.35597 6.02045 1.63102 2.30951e+02 1.63419 1.07479e-04 2.54515 4.66039e+04 2.98457 1.05764e+04 1.21379 8.84436e+03 1.07667 2.49512e+05 2.33717 G014.4894+00.0194
"" "average model method 2" 3 264.15418 1.74290 2.15340 1.94310 64.00000 2.00000 46.76304 9.78108 12500.0 3.21495 1.82989 0.08150 1.82101 114.86302 1.28545 4.22425e+01 9.61175 14.47843 1.46220 8.04812e+05 2.68025 4.54585e+04 1.08196 21.33333 2.00000 1.45579e+02 2.19797 1.61860e-03 1.30547 1.02899e+06 2.35553 3.21735e+05 1.04404 2.95370e+05 1.07549 6.52947e+04 2.04023 G018.6738-00.2363
"" "average model method 2" 19 449.67138 1.18121 1.06243 1.30208 94.48998 1.36132 25.86911 11.19286 13700.0 5.77874 6.28542 0.15139 1.23462 198.02723 1.35292 4.50857e+01 8.46826 16.65655 1.30347 1.31322e+06 1.66592 4.79009e+04 1.01524 31.49666 1.36132 2.50655e+02 1.42519 1.27432e-03 1.13900 1.53171e+06 1.54022 5.03467e+06 1.33742 2.50626e+06 1.56596 1.18665e+05 1.33996 G019.4912+00.1352
"" "average model method 2" 10 327.25779 1.45255 1.58421 2.23627 46.33354 1.54237 34.31505 6.90149 13000.0 8.83029 8.30226 0.10576 1.77933 218.28445 1.41289 2.96783e+01 7.31488 13.16820 1.28678 4.98289e+05 1.58385 4.22823e+04 1.20271 15.44451 1.54237 1.17709e+02 1.85277 1.33606e-03 1.53152 6.32865e+05 1.55691 4.38768e+05 1.20918 3.82543e+05 1.12021 6.40452e+04 2.01367 G019.6062-00.9018
"" "average model method 2" 108 410.83839 1.25821 0.72605 2.12182 81.97101 1.56094 30.44373 12.42863 11800.0 28.10405 18.18979 0.17505 1.57962 162.66387 1.63976 4.69705e+01 13.52018 15.25187 1.38443 1.00555e+06 1.98937 4.68265e+04 1.08778 27.32367 1.56094 2.89915e+02 1.88898 8.15710e-04 1.74606 1.15741e+06 1.85724 2.69004e+06 2.13579 6.02286e+05 1.11608 1.51987e+05 1.91430 G019.6781-00.1318
"" "average model method 2" 44 358.67192 1.61181 0.23096 4.01575 51.30395 1.36138 63.80409 14.84585 14000.0 15.26345 12.52709 0.28999 2.52400 205.44938 1.82925 3.95810e+01 7.27421 10.75007 1.17186 4.26871e+05 1.51643 4.50216e+04 1.09802 17.10132 1.36138 3.40099e+02 2.11886 3.03513e-04 2.36552 4.79965e+05 1.49906 1.52213e+05 1.20958 1.29269e+05 1.06683 2.83012e+05 2.74343 G019.7407+00.2821
"" "average model method 2" 58 299.37052 1.68676 0.18871 3.26853 40.53057 1.61688 68.62074 16.30751 17400.0 16.59300 15.52580 0.29310 2.30269 162.76340 1.96400 4.00285e+01 11.63938 9.59386 1.43523 2.48823e+05 2.34405 4.16416e+04 1.18457 13.51019 1.61688 3.36575e+02 2.02660 2.15392e-04 2.03446 2.80890e+05 2.26796 8.16709e+04 1.22191 6.93604e+04 1.07367 3.07671e+05 2.34423 G020.4319+00.3572
"" "average model method 2" 146 347.96743 1.41743 0.12668 1.93682 27.26965 1.51919 61.18382 17.57212 4100.0 60.23023 35.19281 0.38568 1.63266 253.99523 1.59177 2.93024e+01 10.93968 7.42483 1.51616 9.83382e+04 2.35338 3.75309e+04 1.25444 9.08989 1.51919 2.79786e+02 1.65589 1.53555e-04 1.45001 1.17117e+05 2.18767 5.76623e+04 1.47621 3.68004e+04 1.12558 3.18543e+05 1.70634 G021.4257-00.5417
"" "average model method 2" 303 148.02240 1.86750 0.47652 3.87086 32.73969 1.80771 36.14024 17.70146 3300.0 36.02417 26.79504 0.12969 2.57614 49.81781 2.17887 4.96091e+01 14.05931 9.77226 1.61401 1.76118e+05 2.87813 3.78447e+04 1.37143 10.91323 1.80771 2.28299e+02 2.42661 2.71764e-04 2.40616 2.10281e+05 2.73088 3.68598e+05 2.61889 7.90032e+04 1.31641 1.69628e+05 2.77571 G024.9237+00.0777
"" "average model method 2" 111 377.74445 1.50150 0.21991 3.29369 59.17980 1.60253 65.21583 16.13548 14100.0 20.49409 15.57986 0.30498 2.16187 174.78461 1.87771 4.49317e+01 12.34597 11.82594 1.39886 5.20056e+05 2.23574 4.50969e+04 1.13380 19.72660 1.60253 4.10454e+02 1.90896 2.87776e-04 2.16413 5.71172e+05 2.17781 1.32260e+05 1.25809 1.05929e+05 1.08009 3.18555e+05 2.28048 G025.3055+00.5305
"" "average model method 2" 24 410.37493 1.26243 1.21138 1.54963 56.36996 1.54702 22.97157 9.46105 9800.0 24.46766 16.72782 0.13544 1.38910 266.48681 1.24792 3.19485e+01 8.47194 13.09016 1.34603 5.95251e+05 1.80009 4.43358e+04 1.19621 18.78999 1.54702 1.49372e+02 1.62607 1.24378e-03 1.20839 7.48842e+05 1.71438 2.96654e+06 1.68392 1.03866e+06 1.35694 8.19088e+04 1.60081 G026.5444+00.4169
